x,z,u
0.0,0.25,0.0011188798
0.006006006,0.25,0.0011034757
0.012012012,0.25,0.0010880008
0.018018018,0.25,0.0010724962
0.024024025,0.25,0.0010569245
0.03003003,0.25,0.0010413192
0.036036037,0.25,0.0010256618
0.042042043,0.25,0.0010099523
0.04804805,0.25,0.0009942241
0.054054055,0.25,0.0009784475
0.06006006,0.25,0.0009626299
0.06606607,0.25,0.00094678253
0.072072074,0.25,0.00093092397
0.078078076,0.25,0.0009150021
0.084084086,0.25,0.00089904666
0.090090096,0.25,0.00088308007
0.0960961,0.25,0.0008670911
0.1021021,0.25,0.0008510724
0.10810811,0.25,0.0008350238
0.11411412,0.25,0.0008189678
0.12012012,0.25,0.0008028783
0.12612613,0.25,0.00078678876
0.13213214,0.25,0.00077066943
0.13813815,0.25,0.00075455755
0.14414415,0.25,0.0007384047
0.15015015,0.25,0.0007222742
0.15615615,0.25,0.000706099
0.16216217,0.25,0.0006899312
0.16816817,0.25,0.00067377463
0.17417417,0.25,0.00065758824
0.18018019,0.25,0.0006413907
0.1861862,0.25,0.00062521547
0.1921922,0.25,0.00060903654
0.1981982,0.25,0.0005928613
0.2042042,0.25,0.0005766973
0.21021022,0.25,0.0005605109
0.21621622,0.25,0.0005443804
0.22222222,0.25,0.00052818656
0.22822824,0.25,0.0005120225
0.23423424,0.25,0.0004959032
0.24024025,0.25,0.00047978014
0.24624625,0.25,0.00046364963
0.25225225,0.25,0.00044755638
0.25825825,0.25,0.00043149665
0.2642643,0.25,0.00041542947
0.2702703,0.25,0.0003993772
0.2762763,0.25,0.00038335845
0.2822823,0.25,0.00036734715
0.2882883,0.25,0.00035136566
0.2942943,0.25,0.00033539906
0.3003003,0.25,0.00031945854
0.3063063,0.25,0.00030358136
0.3123123,0.25,0.0002876781
0.31831834,0.25,0.00027183816
0.32432434,0.25,0.00025600195
0.33033034,0.25,0.0002402179
0.33633634,0.25,0.00022446737
0.34234235,0.25,0.00020875409
0.34834835,0.25,0.00019306317
0.35435435,0.25,0.00017740205
0.36036038,0.25,0.00016178563
0.3663664,0.25,0.00014618784
0.3723724,0.25,0.00013064966
0.3783784,0.25,0.000115156174
0.3843844,0.25,9.9692494e-05
0.3903904,0.25,8.426607e-05
0.3963964,0.25,6.889179e-05
0.4024024,0.25,5.3551048e-05
0.4084084,0.25,3.825873e-05
0.41441444,0.25,2.3014843e-05
0.42042044,0.25,7.83056e-06
0.42642644,0.25,-7.2978437e-06
0.43243244,0.25,-2.2429973e-05
0.43843845,0.25,-3.7495047e-05
0.44444445,0.25,-5.247444e-05
0.45045045,0.25,-6.744638e-05
0.45645648,0.25,-8.2328916e-05
0.46246248,0.25,-9.71891e-05
0.4684685,0.25,-0.0001119934
0.4744745,0.25,-0.0001267232
0.4804805,0.25,-0.00014139712
0.4864865,0.25,-0.00015603378
0.4924925,0.25,-0.0001706034
0.4984985,0.25,-0.00018513575
0.5045045,0.25,-0.00019956753
0.5105105,0.25,-0.00021400675
0.5165165,0.25,-0.00022831932
0.5225225,0.25,-0.00024259835
0.5285286,0.25,-0.00025681406
0.5345346,0.25,-0.000270959
0.5405406,0.25,-0.00028508902
0.5465466,0.25,-0.00029910356
0.5525526,0.25,-0.00031306595
0.5585586,0.25,-0.00032698363
0.5645646,0.25,-0.00034083426
0.5705706,0.25,-0.00035459548
0.5765766,0.25,-0.00036833435
0.5825826,0.25,-0.00038195774
0.5885886,0.25,-0.00039552897
0.5945946,0.25,-0.00040904433
0.6006006,0.25,-0.00042251498
0.6066066,0.25,-0.0004358925
0.6126126,0.25,-0.0004491806
0.6186186,0.25,-0.00046242028
0.6246246,0.25,-0.00047560036
0.6306307,0.25,-0.0004887022
0.6366367,0.25,-0.0005017407
0.6426427,0.25,-0.00051469356
0.6486487,0.25,-0.0005275905
0.6546547,0.25,-0.00054039806
0.6606607,0.25,-0.0005531311
0.6666667,0.25,-0.00056581944
0.6726727,0.25,-0.0005784333
0.6786787,0.25,-0.00059093535
0.6846847,0.25,-0.0006033778
0.6906907,0.25,-0.00061578304
0.6966967,0.25,-0.00062809885
0.7027027,0.25,-0.0006403029
0.7087087,0.25,-0.00065244734
0.7147147,0.25,-0.0006645322
0.72072077,0.25,-0.00067654625
0.7267268,0.25,-0.0006885007
0.7327328,0.25,-0.0007003248
0.7387388,0.25,-0.0007121265
0.7447448,0.25,-0.00072380155
0.7507508,0.25,-0.00073540956
0.7567568,0.25,-0.0007469654
0.7627628,0.25,-0.00075843185
0.7687688,0.25,-0.00076982006
0.7747748,0.25,-0.0007811487
0.7807808,0.25,-0.00079236925
0.7867868,0.25,-0.00080353394
0.7927928,0.25,-0.0008146018
0.7987988,0.25,-0.0008256063
0.8048048,0.25,-0.0008365251
0.8108108,0.25,-0.00084736943
0.8168168,0.25,-0.00085812807
0.82282287,0.25,-0.0008688159
0.8288289,0.25,-0.0008794032
0.8348349,0.25,-0.00088992715
0.8408409,0.25,-0.00090037286
0.8468469,0.25,-0.00091074035
0.8528529,0.25,-0.0009210184
0.8588589,0.25,-0.0009312257
0.8648649,0.25,-0.00094136596
0.8708709,0.25,-0.0009514168
0.8768769,0.25,-0.00096135587
0.8828829,0.25,-0.00097126886
0.8888889,0.25,-0.0009810552
0.8948949,0.25,-0.000990767
0.9009009,0.25,-0.0010004118
0.9069069,0.25,-0.0010099635
0.91291296,0.25,-0.001019448
0.91891897,0.25,-0.0010288507
0.92492497,0.25,-0.0010381714
0.930931,0.25,-0.001047384
0.936937,0.25,-0.0010565892
0.942943,0.25,-0.0010656528
0.948949,0.25,-0.0010746345
0.954955,0.25,-0.0010835379
0.960961,0.25,-0.0010923818
0.966967,0.25,-0.0011011288
0.972973,0.25,-0.0011098161
0.978979,0.25,-0.0011183918
0.984985,0.25,-0.0011269003
0.990991,0.25,-0.0011353418
0.996997,0.25,-0.0011436865
1.003003,0.25,-0.0011519343
1.009009,0.25,-0.0011601299
1.015015,0.25,-0.0011682287
1.021021,0.25,-0.0011762492
1.027027,0.25,-0.0011841878
1.033033,0.25,-0.0011920482
1.039039,0.25,-0.0011998639
1.045045,0.25,-0.0012075305
1.051051,0.25,-0.0012151524
1.0570571,0.25,-0.001222685
1.0630631,0.25,-0.0012301356
1.0690691,0.25,-0.001237534
1.0750751,0.25,-0.0012448281
1.0810812,0.25,-0.0012520477
1.0870872,0.25,-0.0012591556
1.0930932,0.25,-0.0012662262
1.0990992,0.25,-0.001273185
1.1051052,0.25,-0.0012800954
1.1111112,0.25,-0.0012868941
1.1171172,0.25,-0.0012936294
1.1231232,0.25,-0.0013003051
1.1291292,0.25,-0.0013068989
1.1351352,0.25,-0.0013133772
1.1411412,0.25,-0.001319781
1.1471472,0.25,-0.0013261065
1.1531532,0.25,-0.001332391
1.1591592,0.25,-0.0013385415
1.1651652,0.25,-0.0013446584
1.1711712,0.25,-0.0013506748
1.1771772,0.25,-0.0013566017
1.1831832,0.25,-0.0013624541
1.1891892,0.25,-0.0013682507
1.1951952,0.25,-0.001373969
1.2012012,0.25,-0.0013795868
1.2072072,0.25,-0.0013851412
1.2132132,0.25,-0.0013906285
1.2192192,0.25,-0.0013959967
1.2252252,0.25,-0.001401335
1.2312312,0.25,-0.0014065504
1.2372372,0.25,-0.0014117248
1.2432432,0.25,-0.0014168024
1.2492492,0.25,-0.0014218166
1.2552553,0.25,-0.0014267154
1.2612613,0.25,-0.0014315732
1.2672673,0.25,-0.0014363416
1.2732733,0.25,-0.0014410317
1.2792794,0.25,-0.001445651
1.2852854,0.25,-0.0014502034
1.2912914,0.25,-0.0014546588
1.2972974,0.25,-0.0014590696
1.3033034,0.25,-0.001463376
1.3093094,0.25,-0.0014676079
