x,z,u
0.0,0.0,8.035551111591842e-55
0.006006006006006006,0.0,1.3230040568775555e-54
0.012012012012012012,0.0,2.176069315451527e-54
0.018018018018018018,0.0,3.5756114164526404e-54
0.024024024024024024,0.0,5.869403227330278e-54
0.03003003003003003,0.0,9.625063842772289e-54
0.036036036036036036,0.0,1.5768098791398258e-53
0.04204204204204204,0.0,2.580602339859724e-53
0.04804804804804805,0.0,4.2191880485336365e-53
0.05405405405405406,0.0,6.891324790513881e-53
0.06006006006006006,0.0,1.1244563375277189e-52
0.06606606606606606,0.0,1.83294112420331e-52
0.07207207207207207,0.0,2.9848360065894182e-52
0.07807807807807808,0.0,4.855774117624668e-52
0.08408408408408408,0.0,7.891553730819829e-52
0.09009009009009009,0.0,1.2812462308905263e-51
0.0960960960960961,0.0,2.0781109218793246e-51
0.1021021021021021,0.0,3.367215330247758e-51
0.10810810810810811,0.0,5.450534541014068e-51
0.11411411411411411,0.0,8.814006033161694e-51
0.12012012012012012,0.0,1.4238807929680068e-50
0.12612612612612611,0.0,2.2979467528374122e-50
0.13213213213213212,0.0,3.7048645229845484e-50
0.13813813813813813,0.0,5.967202047146885e-50
0.14414414414414414,0.0,9.601413987525525e-50
0.15015015015015015,0.0,1.5433544886704467e-49
0.15615615615615616,0.0,2.4783476338006415e-49
0.16216216216216217,0.0,3.9758024763542075e-49
0.16816816816816815,0.0,6.371672081785957e-49
0.17417417417417416,0.0,1.0201125126864232e-48
0.18018018018018017,0.0,1.6315815048451325e-48
0.18618618618618618,0.0,2.6069668796165947e-48
0.1921921921921922,0.0,4.161292989467314e-48
0.1981981981981982,0.0,6.635705708855508e-48
0.2042042042042042,0.0,1.0570900383939092e-47
0.21021021021021022,0.0,1.6822978292542358e-47
0.21621621621621623,0.0,2.6746060947305346e-47
0.2222222222222222,0.0,4.2479834527432026e-47
0.22822822822822822,0.0,6.740185418321363e-47
0.23423423423423423,0.0,1.0683828609908036e-46
0.24024024024024024,0.0,1.6917961102092057e-46
0.24624624624624625,0.0,2.676302333775815e-46
0.25225225225225223,0.0,4.229493526438949e-46
0.25825825825825827,0.0,6.6774031460944645e-46
0.26426426426426425,0.0,1.0531564000738422e-45
0.2702702702702703,0.0,1.6593736379998353e-45
0.27627627627627627,0.0,2.6119300524098106e-45
0.2822822822822823,0.0,4.1071913761311605e-45
0.2882882882882883,0.0,6.452000280699257e-45
0.29429429429429427,0.0,1.0125345630218525e-44
0.3003003003003003,0.0,1.5874182800415651e-44
0.3063063063063063,0.0,2.486216466553402e-44
0.3123123123123123,0.0,3.8900263305127765e-44
0.3183183183183183,0.0,6.080400477667465e-44
0.32432432432432434,0.0,9.49462614818334e-44
0.3303303303303303,0.0,1.4811177773399685e-43
0.3363363363363363,0.0,2.308167710866905e-43
0.34234234234234234,0.0,3.593446382072805e-43
0.3483483483483483,0.0,5.588831523955673e-43
0.35435435435435436,0.0,8.683541973044267e-43
0.36036036036036034,0.0,1.3478415454795489e-42
0.3663663663663664,0.0,2.0900025252031414e-42
0.37237237237237236,0.0,3.237582351066183e-42
0.3783783783783784,0.0,5.010267090086308e-42
0.3843843843843844,0.0,7.745812381376084e-42
0.39039039039039036,0.0,1.1962972643699548e-41
0.3963963963963964,0.0,1.8457687420632486e-41
0.4024024024024024,0.0,2.8449949864177295e-41
0.4084084084084084,0.0,4.3807832395498993e-41
0.4144144144144144,0.0,6.738885315079733e-41
0.42042042042042044,0.0,1.0355961019847626e-40
0.4264264264264264,0.0,1.5898596591291296e-40
0.43243243243243246,0.0,2.4383341068399524e-40
0.43843843843843844,0.0,3.735886541966241e-40
0.4444444444444444,0.0,5.718211099885013e-40
0.45045045045045046,0.0,8.743649321074146e-40
0.45645645645645644,0.0,1.3356458503327967e-39
0.4624624624624625,0.0,2.0382429473785843e-39
0.46846846846846846,0.0,3.1073245653706974e-39
0.4744744744744745,0.0,4.732420529043113e-39
0.4804804804804805,0.0,7.200225232175972e-39
0.48648648648648646,0.0,1.0943969531301438e-38
0.4924924924924925,0.0,1.6617653904637975e-38
0.4984984984984985,0.0,2.52075469742836e-38
0.5045045045045045,0.0,3.819948446009327e-38
0.5105105105105106,0.0,5.782963608241641e-38
0.5165165165165165,0.0,8.745999697909636e-38
0.5225225225225225,0.0,1.321400594167688e-37
0.5285285285285285,0.0,1.994461138214917e-37
0.5345345345345345,0.0,3.007341174794135e-37
0.5405405405405406,0.0,4.530079914237223e-37
0.5465465465465466,0.0,6.817027836515406e-37
0.5525525525525525,0.0,1.0248264187826039e-36
0.5585585585585585,0.0,1.5391168706130235e-36
0.5645645645645646,0.0,2.3091860531415602e-36
0.5705705705705706,0.0,3.461085230488155e-36
0.5765765765765766,0.0,5.182409221272511e-36
0.5825825825825826,0.0,7.752060506705719e-36
0.5885885885885885,0.0,1.158426930712902e-35
0.5945945945945946,0.0,1.7293630593237993e-35
0.6006006006006006,0.0,2.579109323502995e-35
0.6066066066066066,0.0,3.84254857352135e-35
0.6126126126126126,0.0,5.719196546896729e-35
0.6186186186186187,0.0,8.50387207958968e-35
0.6246246246246246,0.0,1.2631777186978894e-34
0.6306306306306306,0.0,1.874468883441239e-34
0.6366366366366366,0.0,2.7788048963230278e-34
0.6426426426426426,0.0,4.1153228965254455e-34
0.6486486486486487,0.0,6.088577222419239e-34
0.6546546546546547,0.0,8.998989847073904e-34
0.6606606606606606,0.0,1.3287330763460972e-33
0.6666666666666666,0.0,1.959962542205408e-33
0.6726726726726726,0.0,2.8881772171791965e-33
0.6786786786786787,0.0,4.251732621735909e-33
0.6846846846846847,0.0,6.252793608939149e-33
0.6906906906906907,0.0,9.186462010373515e-33
0.6966966966966966,0.0,1.3483061456315555e-32
0.7027027027027027,0.0,1.9769459043923945e-32
0.7087087087087087,0.0,2.895790230280011e-32
0.7147147147147147,0.0,4.2374584463802274e-32
0.7207207207207207,0.0,6.194551206665092e-32
0.7267267267267267,0.0,9.046493663656831e-32
0.7327327327327328,0.0,1.319826245762979e-31
0.7387387387387387,0.0,1.9236199765269028e-31
0.7447447447447447,0.0,2.8008370175959896e-31
0.7507507507507507,0.0,4.07401325769643e-31
0.7567567567567568,0.0,5.920018709642952e-31
0.7627627627627628,0.0,8.593889429117438e-31
0.7687687687687688,0.0,1.2462996845720712e-30
0.7747747747747747,0.0,1.805598767504047e-30
0.7807807807807807,0.0,2.613280664806593e-30
0.7867867867867868,0.0,3.778478034361096e-30
0.7927927927927928,0.0,5.457751900797084e-30
0.7987987987987988,0.0,7.875474295233819e-30
0.8048048048048048,0.0,1.135287061043475e-29
0.8108108108108109,0.0,1.6349357829677828e-29
0.8168168168168168,0.0,2.3521323287200356e-29
0.8228228228228228,0.0,3.380561523302422e-29
0.8288288288288288,0.0,4.853801127738586e-29
0.8348348348348348,0.0,6.962114370712235e-29
0.8408408408408409,0.0,9.976228081889427e-29
0.8468468468468469,0.0,1.4280967373705289e-28
0.8528528528528528,0.0,2.042278311835059e-28
0.8588588588588588,0.0,2.9176840737340745e-28
0.8648648648648649,0.0,4.1641622741722615e-28
0.8708708708708709,0.0,5.937218976359609e-28
0.8768768768768769,0.0,8.456770200876404e-28
0.8828828828828829,0.0,1.203350196447335e-27
0.8888888888888888,0.0,1.7105886179999877e-27
0.8948948948948949,0.0,2.429210579220842e-27
